№;Запрос;Кластер;Частотность (оценка)
1;индиго конкурс;Брендовые;Средняя
2;индиго фестиваль;Брендовые;Средняя
3;фестиваль индиго воронеж;Брендовые;Низкая
4;конкурс индиго воронеж;Брендовые;Низкая
5;индиго арт конкурс;Брендовые;Низкая
6;индиго здесь рождаются звезды;Брендовые;Низкая
7;индиго конкурс для детей отзывы;Брендовые;Низкая
8;индиго конкурс регистрация;Брендовые;Низкая
9;индиго конкурс результаты;Брендовые;Низкая
10;индиго конкурс жюри;Брендовые;Низкая
11;детский конкурс;Детские конкурсы (общие);Высокая
12;детский фестиваль;Детские конкурсы (общие);Высокая
13;конкурсы для детей;Детские конкурсы (общие);Высокая
14;фестивали для детей;Детские конкурсы (общие);Высокая
15;творческий конкурс для детей;Детские конкурсы (общие);Высокая
16;конкурс для детей 2026;Детские конкурсы (общие);Средняя
17;фестиваль детского творчества;Детские конкурсы (общие);Высокая
18;конкурс детского творчества;Детские конкурсы (общие);Высокая
19;всероссийский конкурс для детей;Детские конкурсы (общие);Средняя
20;международный конкурс для детей;Детские конкурсы (общие);Средняя
21;конкурс для юных талантов;Детские конкурсы (общие);Средняя
22;конкурс молодых талантов;Детские конкурсы (общие);Средняя
23;фестиваль юных дарований;Детские конкурсы (общие);Низкая
24;конкурс для детского коллектива;Детские конкурсы (общие);Низкая
25;детский творческий фестиваль 2026;Детские конкурсы (общие);Низкая
26;конкурсы для школьников творческие;Детские конкурсы (общие);Низкая
27;конкурсы искусств для детей;Детские конкурсы (общие);Средняя
28;фестиваль искусств для детей;Детские конкурсы (общие);Средняя
29;детский конкурс с дипломом;Детские конкурсы (общие);Низкая
30;детский конкурс онлайн;Детские конкурсы (общие);Средняя
31;конкурс для детей без выезда;Детские конкурсы (общие);Низкая
32;заочный конкурс для детей;Детские конкурсы (общие);Средняя
33;очно заочный конкурс для детей;Детские конкурсы (общие);Средняя
34;конкурс для детского сада;Детские конкурсы (общие);Средняя
35;конкурс для дошкольников творческий;Детские конкурсы (общие);Низкая
36;конкурс для учеников школы искусств;Детские конкурсы (общие);Низкая
37;конкурс для воспитанников;Детские конкурсы (общие);Низкая
38;творческий конкурс для коллективов;Детские конкурсы (общие);Низкая
39;конкурс для солистов;Детские конкурсы (общие);Средняя
40;конкурс для ансамблей;Детские конкурсы (общие);Низкая
41;вокальный конкурс;Вокальные конкурсы;Высокая
42;конкурс вокала;Вокальные конкурсы;Высокая
43;конкурс вокала для детей;Вокальные конкурсы;Высокая
44;детский вокальный конкурс;Вокальные конкурсы;Высокая
45;международный вокальный конкурс;Вокальные конкурсы;Средняя
46;всероссийский вокальный конкурс;Вокальные конкурсы;Средняя
47;конкурс эстрадного вокала;Вокальные конкурсы;Средняя
48;конкурс академического вокала;Вокальные конкурсы;Низкая
49;конкурс народного вокала;Вокальные конкурсы;Низкая
50;конкурс джазового вокала;Вокальные конкурсы;Низкая
51;конкурс вокально хоровых коллективов;Вокальные конкурсы;Низкая
52;конкурс хорового пения;Вокальные конкурсы;Средняя
53;конкурс хоров;Вокальные конкурсы;Средняя
54;фестиваль вокала;Вокальные конкурсы;Средняя
55;фестиваль хорового искусства;Вокальные конкурсы;Низкая
56;конкурс юных вокалистов;Вокальные конкурсы;Средняя
57;конкурс молодых вокалистов;Вокальные конкурсы;Низкая
58;конкурс солистов вокалистов;Вокальные конкурсы;Низкая
59;конкурс вокальных ансамблей;Вокальные конкурсы;Низкая
60;конкурс эстрадной песни;Вокальные конкурсы;Средняя
61;конкурс патриотической песни;Вокальные конкурсы;Средняя
62;конкурс военной песни;Вокальные конкурсы;Низкая
63;конкурс детской песни;Вокальные конкурсы;Средняя
64;конкурс авторской песни;Вокальные конкурсы;Низкая
65;конкурс караоке для детей;Вокальные конкурсы;Низкая
